,Language,,,Literacy,,,Numeracy,,,Physical,,,Creative,,,Personal,,
DistrictName,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3
Regional School District 04,37.2,38.0,24.8,28.1,48.8,23.1,23.1,49.6,27.3,13.2,39.7,47.1,12.4,43.0,44.6,24.8,47.1,28.1
Regional School District 06,14.6,26.8,58.5,14.6,39.0,46.3,12.2,39.0,48.8,12.2,29.3,58.5,2.4,41.5,56.1,2.4,56.1,41.5
Regional School District 10,12.0,30.1,57.8,6.6,33.1,60.2,6.6,35.5,57.8,9.0,35.5,55.4,11.4,33.7,54.8,11.4,34.3,54.2
Regional School District 12,15.2,27.3,57.6,33.3,27.3,39.4,21.2,39.4,39.4,9.1,63.6,27.3,3.0,60.6,36.4,9.1,33.3,57.6
Regional School District 13,11.2,60.7,28.1,20.2,55.1,24.7,13.5,52.8,33.7,4.5,49.4,46.1,3.4,36.0,60.7,6.7,48.3,44.9
Regional School District 14,39.0,47.6,13.3,36.2,41.9,21.9,35.2,59.0,5.7,35.2,42.9,21.9,30.5,41.9,27.6,41.0,46.7,12.4
Regional School District 15,9.5,47.4,43.1,17.2,41.8,40.9,11.2,44.8,44.0,3.9,43.5,52.6,3.4,44.4,52.2,7.8,52.6,39.7
Regional School District 16,15.5,60.1,24.3,23.6,41.9,34.5,10.1,53.4,36.5,5.4,68.2,26.4,4.7,62.8,32.4,10.8,62.8,26.4
Regional School District 17,10.5,24.5,65.0,7.0,23.8,69.2,7.0,22.4,70.6,2.1,19.6,78.3,3.5,20.3,76.2,6.3,25.2,68.5
Regional School District 18,2.6,31.2,66.2,3.9,41.6,54.5,2.6,41.6,55.8,1.3,24.7,74.0,1.3,14.3,84.4,1.3,10.4,88.3
Capitol Region Education Council,15.5,31.6,52.8,16.5,31.6,51.9,9.8,36.7,53.5,6.6,28.8,64.6,6.3,33.5,60.1,11.4,33.9,54.7
Cooperative Educational Services,5.0,37.5,57.5,7.5,47.5,45.0,7.5,17.5,75.0,0.0,15.0,85.0,0.0,20.0,80.0,2.5,30.0,67.5
Area Cooperative Educational Services,32.4,31.1,36.5,25.7,33.8,40.5,18.9,36.5,44.6,10.8,28.4,60.8,9.5,31.1,59.5,23.0,37.8,39.2
Learn,17.5,40.2,42.3,21.1,31.3,47.6,17.9,38.6,43.5,5.7,32.9,61.4,6.1,39.0,54.9,17.9,40.7,41.5
Jumoke Academy District,13.4,35.8,50.7,11.9,31.3,56.7,11.9,31.3,56.7,7.5,25.4,67.2,7.5,25.4,67.2,7.5,41.8,50.7
Integrated Day Charter School District,20.0,33.3,46.7,23.3,43.3,33.3,13.3,36.7,50.0,0.0,36.7,63.3,0.0,23.3,76.7,3.3,46.7,50.0
Side By Side Charter School District,0.0,40.9,59.1,4.5,40.9,54.5,0.0,36.4,63.6,0.0,18.2,81.8,0.0,9.1,90.9,0.0,36.4,63.6
Amistad Academy District,5.6,21.1,73.3,3.3,13.3,83.3,4.4,8.9,86.7,1.1,8.9,90.0,0.0,5.6,94.4,3.3,18.9,77.8
New Beginnings Inc. Family Academy District,12.2,61.0,26.8,22.0,48.8,29.3,22.0,46.3,31.7,4.9,56.1,39.0,2.4,53.7,43.9,7.3,61.0,31.7
Bridgeport Achievement First District,41.1,56.7,2.2,50.0,45.6,4.4,55.6,40.0,4.4,48.9,45.6,5.6,44.4,53.3,2.2,45.6,50.0,4.4
Achievement First Hartford Academy Inc. District,20.0,28.9,51.1,17.8,33.3,48.9,20.0,27.8,52.2,5.6,28.9,65.6,6.7,47.8,45.6,13.3,33.3,53.3
Elm City College Preparatory School District,12.9,32.3,54.8,11.3,24.2,64.5,3.2,19.4,77.4,3.2,12.9,83.9,1.6,4.8,93.5,12.9,41.9,45.2
